,duration,tree_1_latex,tree_1_parsable,tree_2_latex,tree_2_parsable,prediction,feedback,req_iteration,resp_iteration,problem,run_id
0,2.447479724884033,- x_{10} + x_{12}^{3},"[-, **3, x_12, x_10]","\left(\log{\left(\left|{x_{9}}\right| \right)} - \log{\left(\left|{\frac{x_{3}}{x_{9}}}\right| \right)} + \max\left(x_{6}, x_{9}\right)\right) \log{\left(\left|{\max\left(x_{12} + x_{8}, \log{\left(\left|{x_{4}}\right| \right)}\right)}\right| \right)}","[*, log, max, +, x_8, x_12, log, x_4, -, +, max, x_9, x_6, log, x_9, log, /, x_3, x_9]",-1,-1,0,0,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
1,22.00495719909668,"- \log{\left(\left|{- x_{10} + x_{10} + x_{11}}\right| \right)} + \max\left(- x_{0} x_{1} + x_{7}, \frac{x_{1}}{x_{5}} + x_{11} x_{2}\right)","[-, max, -, x_7, *, x_1, x_0, +, *, x_11, x_2, /, x_1, x_5, log, -, +, x_11, x_10, x_10]","\left(-1.07\right)^{3} \left(\max\left(x_{1} x_{10}, x_{11} + x_{11}\right) + \frac{\max\left(x_{2}, x_{6}\right)}{x_{11} \cdot \frac{1}{x_{12}}}\right)","[*, **3, -1.07, +, max, *, x_10, x_1, +, x_11, x_11, /, max, x_6, x_2, /, x_11, x_12]",1,1,0,2,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
2,4.670494318008423,\log{\left(\left|{\left(\left(x_{10} x_{12}\right)^{3}\right)^{3}}\right| \right)},"[log, **3, **3, *, x_12, x_10]","\max\left(\frac{x_{3}}{0.81}, \max\left(x_{10}, x_{5}\right)^{3}\right)^{3}","[**3, max, /, x_3, 0.81, **3, max, x_5, x_10]",-1,1,2,3,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
3,18.204932928085327,"\frac{\left(x_{6} - x_{9}^{3}\right) \max\left(x_{9}^{3}, \frac{x_{11}}{x_{11}}, x_{0} - x_{10}\right)}{x_{1}}","[*, /, -, max, x_6, x_6, **3, x_9, x_1, max, max, -, x_0, x_10, **3, x_9, /, x_11, x_11]","\log{\left(\left|{\max\left(x_{2}^{3}, x_{8}\right)}\right| \right)}","[log, max, x_8, **3, x_2]",1,1,3,6,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
4,3.548153877258301,"x_{12} + x_{5}^{3} \left(\frac{x_{10}}{x_{3}} - -2.86\right) \max\left(3.44, x_{7}\right) - x_{5}","[+, -, x_12, x_5, *, *, **3, x_5, max, x_7, 3.44, -, /, x_10, x_3, -2.86]",\log{\left(\left|{x_{2}^{3}}\right| \right)},"[log, **3, x_2]",1,1,6,6,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
5,2.981829881668091,x_{9} - \left(\log{\left(\left|{x_{0}}\right| \right)}^{3}\right)^{3},"[-, x_9, **3, **3, log, x_0]",\log{\left(\left|{\log{\left(\left|{\log{\left(\left|{x_{4}}\right| \right)}}\right| \right)}}\right| \right)},"[log, log, log, x_4]",-1,-1,6,7,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
6,4.956119060516357,"\max\left(x_{5}, \log{\left(\left|{x_{8}}\right| \right)}^{3}\right)^{3}","[**3, max, **3, log, x_8, x_5]",\log{\left(\left|{x_{8} \frac{\log{\left(\left|{x_{2}}\right| \right)}}{x_{12}}}\right| \right)},"[log, /, x_8, /, x_12, log, x_2]",1,-1,7,8,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
7,4.597912073135376,\log{\left(\left|{\left(\frac{x_{2}}{x_{1}}\right)^{3} - -4.77}\right| \right)},"[log, -, **3, /, x_2, x_1, -4.77]",\left(\left(x_{1} x_{10} x_{9}\right)^{3}\right)^{3},"[**3, **3, *, x_1, *, x_10, x_9]",-1,-1,8,9,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
8,12.505215406417847,\log{\left(\left|{\left(x_{1} x_{10} x_{10}\right)^{3}}\right| \right)},"[log, **3, *, x_1, *, x_10, x_10]","x_{7}^{3} \max\left(x_{10}, x_{5}, x_{7}\right)^{3}","[*, **3, max, x_7, max, x_10, x_5, **3, x_7]",-1,1,9,11,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
9,1.6151714324951172,\log{\left(\left|{x_{8}^{3}}\right| \right)},"[log, **3, x_8]",\left(\left(\left(x_{5}^{3}\right)^{3}\right)^{3}\right)^{3},"[**3, **3, **3, **3, x_5]",1,-1,11,11,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
10,5.205604553222656,"- (x_{0} + x_{8}) + \left(- x_{2} - 0.99\right)^{3} + \max\left(x_{10}, x_{0} + x_{1}, \log{\left(\left|{x_{5}}\right| \right)}^{3}\right) + \frac{3.04}{x_{9}}","[+, +, -, /, 3.04, x_9, +, x_0, x_8, **3, -, -0.99, x_2, max, max, +, x_1, x_0, x_10, **3, log, x_5]",x_{10} + x_{9}^{3},"[+, x_10, **3, x_9]",1,1,11,12,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
